Category,Namespace,Type Name,Attribute Name,Type,Cardinality,Definition
attribute,cdm.base.datetime,RelativeDateOffset,businessDayConvention,BusinessDayConventionEnum,(1..1),"The convention for adjusting a date if it would otherwise fall on a day that is not a business day, as specified by an ISDA convention (e.g. Following, Precedent)."
attribute,cdm.base.datetime,RelativeDateOffset,businessCenters,BusinessCenters,(0..1),
attribute,cdm.base.datetime,RelativeDateOffset,businessCentersReference,BusinessCenters,(0..1),A pointer style reference to a set of financial business centers defined elsewhere in the document. This set of business centers is used to determine whether a particular day is a business day or not.
attribute,cdm.base.datetime,RelativeDateOffset,dateRelativeTo,date,(0..1),Specifies the anchor as an href attribute. The href attribute value is a pointer style reference to the element or component elsewhere in the document where the anchor date is defined.
attribute,cdm.base.datetime,RelativeDateOffset,adjustedDate,date,(0..1),The date once the adjustment has been performed. (Note that this date may change if the business center holidays change).
data type,cdm.base.datetime,TimeZone,,,,The time alongside with the timezone location information. This class makes use of the FpML TimezoneLocation construct.
attribute,cdm.base.datetime,TimeZone,time,time,(1..1),The observation time.
attribute,cdm.base.datetime,TimeZone,location,string,(0..1),"FpML specifies the timezoneLocationScheme by reference to the Time Zone Database (a.k.a. tz database) maintained by IANA, the Internet Assigned Numbers Authority."
data type,cdm.base.datetime,PeriodRange,,,,"Indicates The period range defined as either a lower and upper period bound, or both."
attribute,cdm.base.datetime,PeriodRange,lowerBound,PeriodBound,(0..1),"Specifies the lower bound of a period range, e.g. greater than or equal to 5Y."
attribute,cdm.base.datetime,PeriodRange,upperBound,PeriodBound,(0..1),"Specifies the upper bound of a period range, e.g. less than to 10Y."
data type,cdm.base.datetime,PeriodBound,,,,Indicator to specify if the period bound is defined as a period and whether the bound is inclusive.
attribute,cdm.base.datetime,PeriodBound,period,Period,(1..1),"Specifies the period is to be used as the bound, e.g. 5Y."
attribute,cdm.base.datetime,PeriodBound,inclusive,boolean,(1..1),"Specifies whether the period bound is inclusive, e.g. for a lower bound, false would indicate greater than, whereas true would indicate greater than or equal to."
data type,cdm.base.datetime,AveragingSchedule,,,,Class to representing a method for generating a series of dates.
attribute,cdm.base.datetime,AveragingSchedule,startDate,date,(1..1),Date on which this period begins.
attribute,cdm.base.datetime,AveragingSchedule,endDate,date,(1..1),Date on which this period ends.
attribute,cdm.base.datetime,AveragingSchedule,averagingPeriodFrequency,CalculationPeriodFrequency,(1..1),The frequency at which averaging period occurs with the regular part of the valuation schedule and their roll date convention.
data type,cdm.base.datetime,AdjustableRelativeOrPeriodicDates,,,,"A class giving the choice between defining a series of dates as an explicit list of dates together with applicable adjustments or as relative to some other series of (anchor) dates, or as a calculation period schedule."
attribute,cdm.base.datetime,AdjustableRelativeOrPeriodicDates,adjustableDates,AdjustableDates,(0..1),"A series of dates that shall be subject to adjustment if they would otherwise fall on a day that is not a business day in the specified business centers, together with the convention for adjusting the date."
attribute,cdm.base.datetime,AdjustableRelativeOrPeriodicDates,relativeDates,RelativeDates,(0..1),A series of dates specified as some offset to another series of dates (the anchor dates).
attribute,cdm.base.datetime,AdjustableRelativeOrPeriodicDates,periodicDates,PeriodicDates,(0..1),A calculation period schedule.
data type,cdm.base.datetime,PeriodicDates,,,,A class for specifying a calculation period schedule.
attribute,cdm.base.datetime,PeriodicDates,startDate,AdjustableOrRelativeDate,(0..1),The start date of the calculation period. FpML specifies that for interest rate swaps this date must only be specified if it is not equal to the effective date. It is always specified in the case of equity swaps and credit default swaps with periodic payments. This date may be subject to adjustment in accordance with a business day convention.
attribute,cdm.base.datetime,PeriodicDates,endDate,AdjustableOrRelativeDate,(0..1),The end date of the calculation period. FpML specifies that for interest rate swaps this date must only be specified if it is not equal to the termination date. It is always specified in the case of equity swaps with periodic payments. This date may be subject to adjustment in accordance with a business day convention.
attribute,cdm.base.datetime,PeriodicDates,periodFrequency,CalculationPeriodFrequency,(0..1),The frequency at which calculation period end dates occur with the regular part of the calculation period schedule and their roll date convention.
attribute,cdm.base.datetime,PeriodicDates,periodDatesAdjustments,BusinessDayAdjustments,(0..1),The specification of the business day convention and financial business centers used for adjusting any calculation period date if it would otherwise fall on a day that is not a business day in the specified business center.
attribute,cdm.base.datetime,PeriodicDates,dayType,DayTypeEnum,(0..1),Denotes the enumerated values to specify the day type classification used in counting the number of days between two dates.
data type,cdm.base.datetime,CalculationPeriodFrequency,,,,A class to specify the frequency at which calculation period end dates occur within the regular part of the calculation period schedule and their roll date convention.
attribute,cdm.base.datetime,CalculationPeriodFrequency,rollConvention,RollConventionEnum,(1..1),"The roll convention specifies the period term as part of a periodic schedule, i.e. the calculation period end date within the regular part of the calculation period. The value could be a rule, e.g. IMM Settlement Dates, which is the 3rd Wednesday of the month, or it could be a specific day of the month, such as the first day of the applicable month. It is used in conjunction with a frequency and the regular period start date of a calculation period."
attribute,cdm.base.datetime,CalculationPeriodFrequency,balanceOfFirstPeriod,boolean,(0..1),"Indicates, when true, that that the first Calculation Period should run from the Effective Date to the end of the calendar period in which the Effective Date falls, e.g. Jan 15 - Jan 31 if the calculation periods are one month long and Effective Date is Jan 15. If false, the first Calculation Period should run from the Effective Date for one whole period, e.g. Jan 15 to Feb 14 if the calculation periods are one month long and Effective Date is Jan 15. Mostly used in Commmodity Swaps."
data type,cdm.base.datetime,CalculationFrequency,,,,Represents the parameters for describing how often something (such as collateral interest) is to be calculated.
attribute,cdm.base.datetime,CalculationFrequency,period,Period,(1..1),"Specifies the time period at which calculation is performed, e.g. 1 month."
attribute,cdm.base.datetime,CalculationFrequency,monthOfYear,number,(0..1),Specifies the month of the year if used.
attribute,cdm.base.datetime,CalculationFrequency,dayOfMonth,number,(0..1),Specifies the day of the month if used.
attribute,cdm.base.datetime,CalculationFrequency,dayOfWeek,DayOfWeekEnum,(0..1),Specifies the day of the week if used.
attribute,cdm.base.datetime,CalculationFrequency,weekOfMonth,number,(0..1),Specifies the week of the month if used.
attribute,cdm.base.datetime,CalculationFrequency,offsetDays,number,(1..1),Specifies how many days from the trigger event should the payment occur.
attribute,cdm.base.datetime,CalculationFrequency,dateLocation,BusinessCenterTime,(1..1),Specifies where is the time measured.
attribute,cdm.base.datetime,CalculationFrequency,businessCenter,BusinessCenterEnum,(0..*),Specifies the business center for adjustment of calculation period.
data type,cdm.product.common.settlement,ComputedAmount,,,,"A class to specify the outcome of a computed amount, for testing purposes."
attribute,cdm.product.common.settlement,ComputedAmount,callFunction,calculation,(1..1),
attribute,cdm.product.common.settlement,ComputedAmount,amount,number,(1..1),
attribute,cdm.product.common.settlement,ComputedAmount,currency,string,(0..1),"The currency in which the computed amount is denominated. The list of valid currencies is not presently positioned as an enumeration as part of the CDM because that scope is limited to the values specified by ISDA and FpML. As a result, implementers have to make reference to the relevant standard, such as the ISO 4217 standard for currency codes."
data type,cdm.product.common.settlement,Cashflow,,,,"Class to specify a cashflow, i.e. the outcome of either of computation (e.g. interest accrual) or an assessment of some sort (e.g. a fee). The cashflow can then be turned into a cash transfer, artefact to be used as the input to a payment system or the outcome of it. The associated globalKey denotes the ability to associate a hash value to the Cashflow instantiations for the purpose of model cross-referencing, in support of functionality such as the event effect and the lineage."
attribute,cdm.product.common.settlement,Cashflow,cashflowType,CashflowType,(1..1),"The qualification of the type of cashflow, e.g. brokerage fee, premium, upfront fee etc. Particularly relevant when it cannot be inferred directly through lineage."
attribute,cdm.product.common.settlement,Cashflow,paymentDiscounting,PaymentDiscounting,(0..1),FpML specifies the FpML PaymentDiscounting.model group for representing the discounting elements that can be associated with a payment.
data type,cdm.product.common.settlement,CashflowType,,,,"Characterises the type of cashflow, which can result from either a scheduled or a non-scheduled lifecycle event."
attribute,cdm.product.common.settlement,CashflowType,cashflowType,ScheduledTransferEnum,(0..1),Type of cashflow corresponding to a scheduled event.
attribute,cdm.product.common.settlement,CashflowType,cashPrice,CashPrice,(0..1),"Type of cashflow corresponding to a non-scheduled event, where a price must be agreed between the parties."
attribute,cdm.product.common.settlement,CashflowType,priceExpression,PriceExpressionEnum,(0..1),
data type,cdm.product.common.settlement,QuantityMultiplier,,,," Class to specify a mechanism for a quantity to be set as a multiplier to another (reference) quantity, based on a price observation. At the moment this class only supports FX or Equity-linked notional and re-uses existing building blocks for those 2 cases, until such time when component can be made more generic. This captures the case of resetting cross-currency swaps and resetting equity swaps."
attribute,cdm.product.common.settlement,QuantityMultiplier,fxLinkedNotionalSchedule,FxLinkedNotionalSchedule,(0..1),"Multiplier specified as an FX-linked schedule, e.g. for a resetting cross-currency swap.."
attribute,cdm.product.common.settlement,QuantityMultiplier,multiplierValue,number,(0..1),
data type,cdm.product.common.settlement,ResolvablePriceQuantity,,,,"Generic class to specify the quantity for different payout legs in a contractual product, when that quantity can vary across payout legs or across time. A resolvable quantity can always be resolved into a single quantity from the quantity notation which has a corresponding asset identifier. In addition to the base case, where quantity is directly specified as a number as part of the quantity notation, the other use cases are: (i) quantity based on some pre-defined schedule (eg amortising notional), (ii) quantity based on some pre-defined events (eg resetting cross-currency notional), or quantity set as reference to another quantity (eg equity notional as no. securities x price)."
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,quantityCumulation,CumulationFeature,(0..*),Describe provisions which define how the quantity is incremented over time.
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,resolvedQuantity,Quantity,(0..1),"A product's quantity as a single, non-negative amount.  When specified as part of a product definition, this quantity attribute would not be set.  Instead it is specified on the quantity notation along with an asset identifier matching this payout's asset identifier.  This allows the quantity to be resolved for a payout leg, which can then be specified here for convenience during data processing.  There needs to be at least one resolvable quantity across payout legs of a product to define an anchor that other payout quantities can refer to.  This attribute is ignored when mapping existing FpML messages."
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,quantitySchedule,NonNegativeQuantitySchedule,(0..1),"A payout's quantity specified as a schedule, which may also contain a single value if that quantity is constant. There can only be a single quantity schedule applicable to a payout: e.g. the notional for an interest rate leg. The quantity must be specified outside of the payout in a PriceQuantity object and only referenced inside the payout using an address."
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,quantityReference,ResolvablePriceQuantity,(0..1),Reference quantity when resolvable quantity is defined as relative to another (resolvable) quantity. A resolvable quantity needs to contain either an absolute quantity or a reference to another (resolvable) quantity. This requirement is captured by a choice rule on the class.
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,quantityMultiplier,QuantityMultiplier,(0..1),Quantity multiplier is specified on top of a reference quantity and is used as a multiplying factor when resolving the quantity. A quantity multiplier can only exist when the resolvable quantity specifies a reference quantity.
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,reset,boolean,(0..1),Whether the quantity is resettable
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,futureValueNotional,FutureValueAmount,(0..1),"The future value notional is specific to BRL CDI swaps, and is specified alongside the notional amount. The value is calculated as follows: Future Value Notional = Notional Amount * (1 + Fixed Rate) ^ (Fixed Rate Day Count Fraction). The currency should always match that expressed in the notional schedule. The value date should match the adjusted termination date."
attribute,cdm.product.common.settlement,ResolvablePriceQuantity,priceSchedule,PriceSchedule,(0..*),"A payout's price specified as a schedule, which may also contain a single value if that price is constant. There may be multiple prices specified for a single payout: e.g. a floating interest rate leg may specify a spread, a cap and/or floor and a multiplier. The price must be specified outside of the payout in a PriceQuantity object and only referenced inside the payout using an address."
data type,cdm.product.common.settlement,CumulationFeature,,,,"Describe provisions which define how the quantity is incremented over time. When cumulationDates only is defined, the cumulation for such particular period is 'guarenteed'. In case the cumulation would be 'contigent', Knock-In conditions may be defined. Besides, a 'lever' may also be defined i.e. multiplier value to apply on the quantity incremented. Main business case is to define 'Accumulator' or 'Decumulator' products, which final payoff calculation eventually consists in applying the payout formula to an aggregated quantity, that being a sum of multiple quantity increment periods - hence the multiple cardinality of this attribute. For intance, say A + B + C + ... + N-1 are distinct cumulation conditions in termsheet, then such payoff would be represented by defining N distinct CumulationFeature in array e.g. CumulationFeature[A], CumulationFeature[B], CumulationFeature[C], [...], CumulationFeature[N-1], each with any appropriate 'guaranteed' or 'contigent' and/or 'levered' features, as need be."
data type,cdm.product.common.settlement,PayoutBase,,,," Base class that all payout types should extend. Use case is that some validation rules may need to apply across all payout types, for which the data rule can be written at the base class level"
attribute,cdm.product.common.settlement,PayoutBase,payerReceiver,PayerReceiver,(1..1),Canonical representation of the payer and receiver parties applicable to each payout leg.
attribute,cdm.product.common.settlement,PayoutBase,priceQuantity,ResolvablePriceQuantity,(0..1),"Each payout leg must implement the quantity concept as a 'resolvable' type, which allows for different payout legs to be linked to each other (e.g. in the case of cross-curreny products)."
attribute,cdm.product.common.settlement,PayoutBase,principalPayment,PrincipalPayments,(0..1),The specification of the principal exchange. Optional as only applicable in the case of cross-currency or zero-coupon swaps with a final payment.
attribute,cdm.product.common.settlement,PayoutBase,settlementTerms,SettlementTerms,(0..1),"Each payout leg must specifies its settlement terms, including the delivery type (i.e. cash vs physical, and their respective terms), the transfer type (DvP etc.) and settlement date, if any."
data type,cdm.product.common.settlement,CommodityPriceReturnTerms,,,,Defines parameters in which the commodity price is assessed.
attribute,cdm.product.common.settlement,CommodityPriceReturnTerms,rounding,Rounding,(0..1),Defines rounding rules and precision to be used in the rounding of a number.
attribute,cdm.product.common.settlement,CommodityPriceReturnTerms,spread,SpreadSchedule,(0..1),Defines a spread value for one or more defined dates.
attribute,cdm.product.common.settlement,CommodityPriceReturnTerms,rollFeature,RollFeature,(0..1),Used in conjunction with an exchange-based pricing source. Identifies a way in which the futures contracts referenced will roll between periods. 
attribute,cdm.product.common.settlement,CommodityPriceReturnTerms,conversionFactor,number,(0..1),Defines the conversion applied if the quantity unit on contract is different from unit on referenced underlier.
data type,cdm.product.common.settlement,RollFeature,,,,Used in conjunction with an exchange-based pricing source. Identifies a way in which the futures contracts referenced will roll between periods. 
attribute,cdm.product.common.settlement,RollFeature,rollSourceCalendar,RollSourceCalendarEnum,(0..1),"Used in conjunction with an exchange-based pricing source. Identifies a date source calendar from which the pricing dates and thus roll to the next contract will be based off (e.g. pricing is based on the NYMEX WTI First Nearby Futures Contract, if Future is chosen, the pricing will roll to the next futures contract on expiration, if ListedOption is chosen, the pricing will roll to the next futures contract on the Option expiration date which is three business days before the expiration of the NYMEX WTI futures contract.) Omitting this element will result in the default behavior expected with the pricing source described within the commodity element."
attribute,cdm.product.common.settlement,RollFeature,deliveryDateRollConvention,Offset,(0..1),"Specifies, for a Commodity Transaction that references a delivery date for a listed future, the day on which the specified future will roll to the next nearby month prior to the expiration of the referenced future. If the future will not roll at all - i.e. the price will be taken from the expiring contract, 0 should be specified here. If the future will roll to the next nearby on the last trading day - i.e. the price will be taken from the next nearby on the last trading day, then 1 should be specified and so on."
data type,cdm.product.common.settlement,PricingDates,,,,Specifies specific dates or parametric rules for the dates on which the price will be determined
attribute,cdm.product.common.settlement,PricingDates,specifiedDates,AdjustableDates,(0..*),Defines specified dates on which the price will be determined.
attribute,cdm.product.common.settlement,PricingDates,parametricDates,ParametricDates,(0..1),Defines rules for the dates on which the price will be determined.
data type,cdm.product.common.settlement,ValuationDate,,,,"A single object that represents the different methods to specify a valuation date, as used for cash settlement. The Single / Multiple ValuationDate is used for the determination of recovery in a credit event, the RelativeDateOffset is used for cash-settled option, and FxFixingDate is used for cross-currency settlement."
attribute,cdm.product.common.settlement,ValuationDate,singleValuationDate,SingleValuationDate,(0..1),"Where single valuation date is specified as being applicable for cash settlement, this element specifies the number of business days after satisfaction of all conditions to settlement when such valuation date occurs. ISDA 2003 Term: Single Valuation Date."
attribute,cdm.product.common.settlement,ValuationDate,multipleValuationDates,MultipleValuationDates,(0..1),"Where multiple valuation dates are specified as being applicable for cash settlement, this element specifies (a) the number of applicable valuation dates, and (b) the number of business days after satisfaction of all conditions to settlement when the first such valuation date occurs, and (c) the number of business days thereafter of each successive valuation date. ISDA 2003 Term: Multiple Valuation Dates."
attribute,cdm.product.common.settlement,ValuationDate,valuationDate,RelativeDateOffset,(0..1),"The date on which the cash settlement amount will be determined according to the cash settlement method if the parties have not otherwise been able to agree the cash settlement amount. This attribute was formerly part of 'OptionCashSettlement', which is now being harmonised into a common 'CashSettlementTerms' that includes a 'ValuationDate'."
attribute,cdm.product.common.settlement,ValuationDate,fxFixingDate,FxFixingDate,(0..1),"The date on which the currency rate will be determined for the purpose of specifying the amount in deliverable currency. This attribute was formerly part of 'NonDeliverableSettlement', which is now being harmonised into a common 'CashSettlementTerms' that includes a 'ValuationDate'."
attribute,cdm.product.common.settlement,ValuationDate,fxFixingSchedule,AdjustableDates,(0..1),"The date, when expressed as a schedule of date(s), on which the currency rate will be determined for the purpose of specifying the amount in deliverable currency. This attribute was formerly part of 'NonDeliverableSettlement', which is now being harmonised into a common 'CashSettlementTerms' that includes a 'ValuationDate'."
data type,cdm.product.common.settlement,CashSettlementTerms,,,,"Defines the terms required to compute and settle a cash settlement amount according to a fixing value, including the fixing source, fixing method and fixing date. In FpML, PhysicalSettlementTerms and CashSettlementTerms extend SettlementTerms. In the CDM, this extension paradigm has not been used because SettlementTerms class has been used for purposes related to securities transactions, while it is not used as such in the FpML standard (i.e. only as an abstract construct."
attribute,cdm.product.common.settlement,CashSettlementTerms,cashSettlementMethod,CashSettlementMethodEnum,(0..1),"Specifies the type of cash settlement method: cash price, yield curve etc."
attribute,cdm.product.common.settlement,CashSettlementTerms,valuationMethod,ValuationMethod,(0..1),"Specifies the parameters required to obtain a valuation, including the source, quotation method (bid, mid etc.) and any applicable quotation amount."
attribute,cdm.product.common.settlement,CashSettlementTerms,valuationDate,ValuationDate,(0..1),"Defines the different methods to specify a valuation date, as used for cash settlement. The Single / Multiple ValuationDate is used for the determination of recovery in a credit event, the RelativeDateOffset is used for cash-settled option, and FxFixingDate is used for cross-currency settlement."
attribute,cdm.product.common.settlement,CashSettlementTerms,valuationTime,BusinessCenterTime,(0..1),"The time of the cash settlement valuation date when the cash settlement amount will be determined according to the cash settlement method, if the parties have not otherwise been able to agree the cash settlement amount. When using quations, this is the time of day in the specified business center when the calculation agent seeks quotations for an amount of the reference obligation for purposes of cash settlement. ISDA 2003 Term: Valuation Time."
attribute,cdm.product.common.settlement,CashSettlementTerms,cashSettlementAmount,Money,(0..1),"The amount paid by the seller to the buyer for cash settlement on the cash settlement date. If not otherwise specified, would typically be calculated as 100 (or the Reference Price) minus the price of the Reference Obligation (all expressed as a percentage) times Floating Rate Payer Calculation Amount. ISDA 2003 Term: Cash Settlement Amount."
attribute,cdm.product.common.settlement,CashSettlementTerms,recoveryFactor,number,(0..1),"Used for fixed recovery, specifies the recovery level, determined at contract formation, to be applied on a default. Used to calculate the amount paid by the seller to the buyer for cash settlement on the cash settlement date. Amount calculation is (1 minus the Recovery Factor) multiplied by the Floating Rate Payer Calculation Amount. The currency will be derived from the Floating Rate Payer Calculation Amount."
attribute,cdm.product.common.settlement,CashSettlementTerms,fixedSettlement,boolean,(0..1),"Used for Recovery Lock, to indicate whether fixed Settlement is Applicable or Not Applicable. If Buyer fails to deliver an effective Notice of Physical Settlement on or before the Buyer NOPS Cut-off Date, and if Seller fails to deliver an effective Seller NOPS on or before the Seller NOPS Cut-off Date, then either: (a) if Fixed Settlement is specified in the related Confirmation as not applicable, then the Seller NOPS Cut-off Date shall be the Termination Date; or (b) if Fixed Settlement is specified in the related Confirmation as applicable, then: (i) if the Fixed Settlement Amount is a positive number, Seller shall, subject to Section 3.1 (except for the requirement of satisfaction of the Notice of Physical Settlement Condition to Settlement), pay the Fixed Settlement Amount to Buyer on the Fixed Settlement Payment Date; and (ii) if the Fixed Settlement Amount is a negative number, Buyer shall, subject to Section 3.1 (except for the requirement of satisfaction of the Notice of Physical Settlement Condition to Settlement), pay the absolute value of the Fixed Settlement Amount to Seller on the Fixed Settlement Payment Date."
attribute,cdm.product.common.settlement,CashSettlementTerms,accruedInterest,boolean,(0..1),Indicates whether accrued interest is included (true) or not (false). For cash settlement this specifies whether quotations should be obtained inclusive or not of accrued interest. For physical settlement this specifies whether the buyer should deliver the obligation with an outstanding principal balance that includes or excludes accrued interest. ISDA 2003 Term: Include/Exclude Accrued Interest.
data type,cdm.product.common.settlement,DeliverableObligations,,,,A class to specify all the ISDA terms relevant to defining the deliverable obligations.
attribute,cdm.product.common.settlement,DeliverableObligations,accruedInterest,boolean,(0..1),Indicates whether accrued interest is included (true) or not (false). For cash settlement this specifies whether quotations should be obtained inclusive or not of accrued interest. For physical settlement this specifies whether the buyer should deliver the obligation with an outstanding principal balance that includes or excludes accrued interest. ISDA 2003 Term: Include/Exclude Accrued Interest.
attribute,cdm.product.common.settlement,DeliverableObligations,category,ObligationCategoryEnum,(0..1),Used in both obligations and deliverable obligations to represent a class or type of securities which apply. ISDA 2003 Term: Obligation Category/Deliverable Obligation Category.
attribute,cdm.product.common.settlement,DeliverableObligations,notSubordinated,boolean,(0..1),"An obligation and deliverable obligation characteristic. An obligation that ranks at least equal with the most senior Reference Obligation in priority of payment or, if no Reference Obligation is specified in the related Confirmation, the obligations of the Reference Entity that are senior. ISDA 2003 Term: Not Subordinated."
attribute,cdm.product.common.settlement,DeliverableObligations,specifiedCurrency,SpecifiedCurrency,(0..1),An obligation and deliverable obligation characteristic. The currency or currencies in which an obligation or deliverable obligation must be payable. ISDA 2003 Term: Specified Currency.
attribute,cdm.product.common.settlement,DeliverableObligations,notSovereignLender,boolean,(0..1),An obligation and deliverable obligation characteristic. Any obligation that is not primarily (majority) owed to a Sovereign or Supranational Organisation. ISDA 2003 Term: Not Sovereign Lender.
attribute,cdm.product.common.settlement,DeliverableObligations,notDomesticCurrency,NotDomesticCurrency,(0..1),"An obligation and deliverable obligation characteristic. Any obligation that is payable in any currency other than the domestic currency. Domestic currency is either the currency so specified or, if no currency is specified, the currency of (a) the reference entity, if the reference entity is a sovereign, or (b) the jurisdiction in which the relevant reference entity is organised, if the reference entity is not a sovereign. ISDA 2003 Term: Not Domestic Currency."
attribute,cdm.product.common.settlement,DeliverableObligations,notDomesticLaw,boolean,(0..1),"An obligation and deliverable obligation characteristic. If the reference entity is a Sovereign, this means any obligation that is not subject to the laws of the reference entity. If the reference entity is not a sovereign, this means any obligation that is not subject to the laws of the jurisdiction of the reference entity. ISDA 2003 Term: Not Domestic Law."
attribute,cdm.product.common.settlement,DeliverableObligations,listed,boolean,(0..1),"An obligation and deliverable obligation characteristic. Indicates whether or not the obligation is quoted, listed or ordinarily purchased and sold on an exchange. ISDA 2003 Term: Listed."
attribute,cdm.product.common.settlement,DeliverableObligations,notContingent,boolean,(0..1),"A deliverable obligation characteristic. In essence Not Contingent means the repayment of principal cannot be dependant on a formula/index, i.e. to prevent the risk of being delivered an instrument that may never pay any element of principal, and to ensure that the obligation is interest bearing (on a regular schedule). ISDA 2003 Term: Not Contingent."
attribute,cdm.product.common.settlement,DeliverableObligations,notDomesticIssuance,boolean,(0..1),An obligation and deliverable obligation characteristic. Any obligation other than an obligation that was intended to be offered for sale primarily in the domestic market of the relevant Reference Entity. This specifies that the obligation must be an internationally recognised bond. ISDA 2003 Term: Not Domestic Issuance.
attribute,cdm.product.common.settlement,DeliverableObligations,assignableLoan,PCDeliverableObligationCharac,(0..1),"A deliverable obligation characteristic. A loan that is freely assignable to a bank or financial institution without the consent of the Reference Entity or the guarantor, if any, of the loan (or the consent of the applicable borrower if a Reference Entity is guaranteeing the loan) or any agent. ISDA 2003 Term: Assignable Loan."
attribute,cdm.product.common.settlement,DeliverableObligations,consentRequiredLoan,PCDeliverableObligationCharac,(0..1),"A deliverable obligation characteristic. A loan that is capable of being assigned with the consent of the Reference Entity or the guarantor, if any, of the loan or any agent. ISDA 2003 Term: Consent Required Loan."
attribute,cdm.product.common.settlement,DeliverableObligations,directLoanParticipation,LoanParticipation,(0..1),"A deliverable obligation characteristic. A loan with a participation agreement whereby the buyer is capable of creating, or procuring the creation of, a contractual right in favour of the seller that provides the seller with recourse to the participation seller for a specified share in any payments due under the relevant loan which are received by the participation seller. ISDA 2003 Term: Direct Loan Participation."
attribute,cdm.product.common.settlement,DeliverableObligations,transferable,boolean,(0..1),"A deliverable obligation characteristic. An obligation that is transferable to institutional investors without any contractual, statutory or regulatory restrictions. ISDA 2003 Term: Transferable."
attribute,cdm.product.common.settlement,DeliverableObligations,maximumMaturity,Period,(0..1),A deliverable obligation characteristic. An obligation that has a remaining maturity from the Physical Settlement Date of not greater than the period specified. ISDA 2003 Term: Maximum Maturity.
attribute,cdm.product.common.settlement,DeliverableObligations,acceleratedOrMatured,boolean,(0..1),"A deliverable obligation characteristic. An obligation at time of default is due to mature and due to be repaid, or as a result of downgrade/bankruptcy is due to be repaid as a result of an acceleration clause. ISDA 2003 Term: Accelerated or Matured."
attribute,cdm.product.common.settlement,DeliverableObligations,notBearer,boolean,(0..1),"A deliverable obligation characteristic. Any obligation that is not a bearer instrument. This applies to Bonds only and is meant to avoid tax, fraud and security/delivery provisions that can potentially be associated with Bearer Bonds. ISDA 2003 Term: Not Bearer."
attribute,cdm.product.common.settlement,DeliverableObligations,fullFaithAndCreditObLiability,boolean,(0..1),An obligation and deliverable obligation characteristic. Defined in the ISDA published additional provisions for U.S. Municipal as Reference Entity. ISDA 2003 Term: Full Faith and Credit Obligation Liability.
attribute,cdm.product.common.settlement,DeliverableObligations,generalFundObligationLiability,boolean,(0..1),An obligation and deliverable obligation characteristic. Defined in the ISDA published additional provisions for U.S. Municipal as Reference Entity. ISDA 2003 Term: General Fund Obligation Liability.
attribute,cdm.product.common.settlement,DeliverableObligations,revenueObligationLiability,boolean,(0..1),An obligation and deliverable obligation characteristic. Defined in the ISDA published additional provisions for U.S. Municipal as Reference Entity. ISDA 2003 Term: Revenue Obligation Liability.
attribute,cdm.product.common.settlement,DeliverableObligations,indirectLoanParticipation,LoanParticipation,(0..1),ISDA 1999 Term: Indirect Loan Participation. NOTE: Only applicable as a deliverable obligation under ISDA Credit 1999.
attribute,cdm.product.common.settlement,DeliverableObligations,excluded,string,(0..1),"A free format string to specify any excluded obligations or deliverable obligations, as the case may be, of the reference entity or excluded types of obligations or deliverable obligations. ISDA 2003 Term: Excluded Obligations/Excluded Deliverable Obligations."
attribute,cdm.product.common.settlement,DeliverableObligations,othReferenceEntityObligations,string,(0..1),This element is used to specify any other obligations of a reference entity in both obligations and deliverable obligations. The obligations can be specified free-form. ISDA 2003 Term: Other Obligations of a Reference Entity.
data type,cdm.product.common.settlement,LoanParticipation,,,,"A class to specify loan with a participation agreement whereby the buyer is capable of creating, or procuring the creation of, a contractual right in favour of the seller that provides the seller with recourse to the participation seller for a specified share in any payments due under the relevant loan which are received by the participation seller. ISDA 2003 Term: Direct Loan Participation."
attribute,cdm.product.common.settlement,LoanParticipation,qualifyingParticipationSeller,string,(0..1),"If Direct Loan Participation is specified as a deliverable obligation characteristic, this specifies any requirements for the Qualifying Participation Seller. The requirements may be listed free-form. ISDA 2003 Term: Qualifying Participation Seller."
data type,cdm.product.common.settlement,PCDeliverableObligationCharac,,,,A class to specify the Partial Cash Deliverable Obligation Characteristic.
attribute,cdm.product.common.settlement,PCDeliverableObligationCharac,applicable,boolean,(1..1),Indicates whether the provision is applicable.
